activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
9,290,Help our pitbull Missy,U.S. Dollar,of $3.2k goal,(3),9,9%,"days left
					,
				",0,2
12,230,Jasper is saved,U.S. Dollar,of $230 goal,(1),12,100%,"Years running
					,
				",6,0
87,"2,203",Bosco needs Physical Therapy,U.S. Dollar,of $2.5k goal,(2),84,88%,"days left
					,
				",0,1
36,920,Fayette County Sheriff K9 Djenx,U.S. Dollar,of $1.3k goal,(1),36,74%,"days left
					,
				",0,0
7,300,My Senior Susi,U.S. Dollar,of $400 goal,(1),7,75%,"Years running
					,
				",6,1
14,285,"133726 FELIX Male Mix - OWNER SURRENDER, neutered",U.S. Dollar,of $300 goal,(1),14,95%,"days left
					,
				",0,0
8,130,Roscoe,U.S. Dollar,of $250 goal,(1),8,52%,"days left
					,
				",0,2
10,350,Get Kal back on his feet (minus one)!,U.S. Dollar,of $1.2k goal,(4),10,29%,"days left
					,
				",0,2
4,115,In Animal Control facility!  HELP us Save TAYLOR,U.S. Dollar,of $200 goal,(1),4,57%,"days left
					,
				",0,1
8,160,FR-C Puppies,U.S. Dollar,of $160 goal,(1),8,100%,"days left
					,
				",0,0
48,"1,500",Help Xena walk pain-free again!,U.S. Dollar,of $1.5k goal,(13),43,100%,"Years running
					,
				",6,5
5,300,Dunky & Joe Cocker heart Worm Treatment,U.S. Dollar,of $300 goal,(1),5,100%,"Years running
					,
				",6,0
5,110,Catawba-Tony,U.S. Dollar,of $100 goal,(1),5,110%,"days left
					,
				",0,0
20,630,Help us finish our kennel project!,U.S. Dollar,of $600 goal,(1),19,105%,"Years running
					,
				",6,0
14,245,Are you up for a 10 day challenge?,U.S. Dollar,of $200 goal,(1),14,123%,"days left
					,
				",0,1
5,250,Howie needs help,U.S. Dollar,of $250 goal,(1),4,100%,"Years running
					,
				",6,0
12,320,"#1314043 'OLIVE' Fem Hound, Beautiful & Sweet!!",U.S. Dollar,of $500 goal,(1),12,64%,"days left
					,
				",0,0
7,150,Rowan - TEMPEST vetting,U.S. Dollar,of $150 goal,(1),7,100%,"days left
					,
				",0,0
9,350,Stanly - Fritz,U.S. Dollar,of $350 goal,(1),9,100%,"days left
					,
				",0,0
18,875,Help with the vet bill for Dallas,U.S. Dollar,of $9k goal,(1),18,10%,"Years running
					,
				",6,1
1,200,Rowan - CINDY LOU,U.S. Dollar,of $200 goal,(1),1,100%,"days left
					,
				",0,0
8,100,Catawba-Ryan,U.S. Dollar,of $100 goal,(1),8,100%,"days left
					,
				",0,0
3,120,Please help with the horses Feed/Hay,U.S. Dollar,of $900 goal,(1),3,13%,"days left
					,
				",0,1
9,475,"THE WALKERS 3 yellow lab pups 5mo,embedded collars",U.S. Dollar,of $600 goal,(1),8,79%,"days left
					,
				",0,0
8,200,Rowan - ALEX,U.S. Dollar,of $200 goal,(1),8,100%,"days left
					,
				",0,0
1,200,Rowan - FREDA,U.S. Dollar,of $200 goal,(1),1,100%,"days left
					,
				",0,0
6,155,In Animal Control facility!  HELP us Save FUZZY,U.S. Dollar,of $200 goal,(1),6,78%,"days left
					,
				",0,1
12,300,133476 JACKSON Male Pit dumped side of the road :(,U.S. Dollar,of $300 goal,(1),11,100%,"days left
					,
				",0,0
21,415,133700 BRANDO Male Boxer Mix - has broken leg :(,U.S. Dollar,of $300 goal,(1),20,138%,"days left
					,
				",0,0
5,150,SAVE A193469,U.S. Dollar,of $150 goal,(1),5,100%,"days left
					,
				",0,1
11,150,Rowan AVERY,U.S. Dollar,of $150 goal,(1),11,100%,"days left
					,
				",0,0
44,"1,175",Jackson's Journey....,U.S. Dollar,of $3k goal,(2),40,39%,"days left
					,
				",0,1
10,600,info to come #133395 OCEAN and #133396 SEA,U.S. Dollar,of $600 goal,(1),10,100%,"days left
					,
				",0,0
3,105,133516 WYBERT Male Bassett Mix,U.S. Dollar,of $300 goal,(1),3,35%,"days left
					,
				",0,0
34,720,Koshens Surgery,U.S. Dollar,of $1.5k goal,(1),25,48%,"Years running
					,
				",6,0
6,220,Zeus the Rottie needs Heartworm treatment,U.S. Dollar,of $800 goal,(1),6,28%,"Years running
					,
				",6,1
2,140,Jenni needs some help,U.S. Dollar,of $140 goal,(1),2,100%,"Years running
					,
				",6,0
3,180,MCAA -- 5 Kittens,U.S. Dollar,of $180 goal,(1),3,100%,"days left
					,
				",0,0
9,550,Stanly - Audi HW TREATMENT,U.S. Dollar,of $550 goal,(1),9,100%,"days left
					,
				",0,0
39,"1,820",Athyna's Fund,U.S. Dollar,of $5k goal,(2),37,36%,"days left
					,
				",0,2
2,120,133527 BACHI Female Lab Mix,U.S. Dollar,of $300 goal,(1),2,40%,"days left
					,
				",0,0
40,683,Help Tessa recover from feral dog attack,U.S. Dollar,of $1.3k goal,(3),34,55%,"Years running
					,
				",6,1
1,400,Catawba-Burke,U.S. Dollar,of $400 goal,(1),1,100%,"days left
					,
				",0,1
25,321,aztec needs your help with his vet bills,U.S. Dollar,of $800 goal,(10),21,40%,"Years running
					,
				",6,12
4,245,Sara's Medical,U.S. Dollar,of $405 goal,(1),4,60%,"Years running
					,
				",6,0
14,500,Help Kismet LIVE,U.S. Dollar,of $5k goal,(3),13,10%,"Years running
					,
				",6,4
4,285,BROOKE - THE LONE AND ABANDONED DOG!!!,U.S. Dollar,of $800 goal,(1),4,36%,"Years running
					,
				",6,0
8,215,Lucy needs help to make her ride,U.S. Dollar,of $140 goal,(1),7,154%,"Years running
					,
				",6,0
1,125,CATAWBA-GABRIEL,U.S. Dollar,of $125 goal,(1),1,100%,"days left
					,
				",0,0
14,257,"help for Tasha, A258106 Senior rescued from OCAS",U.S. Dollar,of $500 goal,(5),13,51%,"Years running
					,
				",6,1
52,"1,301",Help Guinness survive,U.S. Dollar,of $1.2k goal,(4),52,108%,"days left
					,
				",0,2
4,152,Penny has rescue,U.S. Dollar,of $180 goal,(1),4,84%,"Years running
					,
				",6,0
10,150,Rowan - LACEY,U.S. Dollar,of $150 goal,(1),9,100%,"days left
					,
				",0,0
26,"1,700",LOW on Food $$$ / Pet Sanctuary,U.S. Dollar,of $1.5k goal,(4),23,113%,"Years running
					,
				",6,3
6,335,Coco (broken femur),U.S. Dollar,of $1.5k goal,(1),6,22%,"days left
					,
				",0,2
13,250,Rowan STAR,U.S. Dollar,of $200 goal,(1),13,125%,"days left
					,
				",0,0
11,150,HELP Dakota with Heartworm treatment (Husky),U.S. Dollar,of $800 goal,(1),10,19%,"days left
					,
				",0,1
9,335,Spay and Neuter Fund,U.S. Dollar,of $1.5k goal,(1),9,22%,"Years running
					,
				",6,0
14,206,133524 SKY ~Fem Mix Pup(marked pit)6mo small 20lbs,U.S. Dollar,of $300 goal,(1),14,69%,"days left
					,
				",0,0
14,240,"133589 ""GEMINI"" Female GSD very emaciated",U.S. Dollar,of $300 goal,(1),13,80%,"days left
					,
				",0,0
1,375,Latest,U.S. Dollar,of $375 goal,(0),1,100%,"days left
					,
				",0,0
19,295,Peanut is sick and needs vetting!!,U.S. Dollar,of $150 goal,(1),16,197%,"Years running
					,
				",6,0
7,130,MEDICAL ASSISTANCE!!!!  Please help Pickles!,U.S. Dollar,of $400 goal,(1),5,33%,"days left
					,
				",0,1
14,"1,036",This little piggy needs your help!,U.S. Dollar,of $1k goal,(5),14,104%,"days left
					,
				",0,3
6,350,Tessa's Hospital Stay,U.S. Dollar,of $350 goal,(1),6,100%,"days left
					,
				",0,0
1,425,Latest pulls,U.S. Dollar,of $425 goal,(0),1,100%,"days left
					,
				",0,0
9,200,My Daughter's Puppy,U.S. Dollar,of $2.2k goal,(2),5,9%,"Years running
					,
				",6,7
13,695,501(c)3 status for Friends of Bristol Animal Shltr,U.S. Dollar,of $850 goal,(3),13,82%,"days left
					,
				",0,6
9,200,Stanly - Tyson,U.S. Dollar,of $200 goal,(1),9,100%,"days left
					,
				",0,0
20,690,Bella's Doggy Wheelchair Needs An Upgrade,U.S. Dollar,of $750 goal,(2),16,92%,"Years running
					,
				",6,1
2,180,Help Ruby's mom with Ruby's recent surgery expense,U.S. Dollar,of $400 goal,(3),2,45%,"Years running
					,
				",6,4
12,310,Oke-Sally,U.S. Dollar,of $550 goal,(1),12,56%,"days left
					,
				",0,0
14,113,Dinky: Helping Dogs In Need in Qatar,Pound Sterling,of £250 goal,(2),13,45%,"days left
					,
				",0,3
3,155,"133560 ""APPLE"" Female Plott Hound Mix around 5 mos",U.S. Dollar,of $300 goal,(1),2,52%,"days left
					,
				",0,0
17,435,Help Jazzy come to America!,U.S. Dollar,of $1.4k goal,(5),14,32%,"Years running
					,
				",6,2
28,970,"4pawlifesaver's ""Old Hollywood Litter""",U.S. Dollar,of $1.5k goal,(1),27,65%,"Years running
					,
				",6,1
19,800,Molly's babies won't wait. They need your help!!!,U.S. Dollar,of $800 goal,(1),18,100%,"Years running
					,
				",6,0
7,500,Help Natalie give Harrison a proper ending (Euth),U.S. Dollar,of $400 goal,(1),7,125%,"Years running
					,
				",6,0
8,155,Puppies found in box in wood need vet care,U.S. Dollar,of $1k goal,(1),7,16%,"days left
					,
				",0,1
13,155,Special Needs Kitty Needs Your Help,U.S. Dollar,of $200 goal,(1),11,78%,"Years running
					,
				",6,1
9,285,MCAA -- Dolly + 4 pups,U.S. Dollar,of $500 goal,(1),9,57%,"days left
					,
				",0,0
21,560,Seamus needs help for urgent medical care!,U.S. Dollar,of $1.5k goal,(2),16,37%,"days left
					,
				",0,1
9,633,Help 4 Orphaned Pups - (Ohio),U.S. Dollar,of $875 goal,(1),8,72%,"days left
					,
				",0,2
2,120,"133577 ""BOW TIE"" Male Pit- Beautiful speckled coat",U.S. Dollar,of $300 goal,(1),2,40%,"days left
					,
				",0,0
8,100,Save Samantha,U.S. Dollar,of $100 goal,(1),8,100%,"days left
					,
				",0,0
27,620,In Animal Control facility!  HELP us Save 3 HOUNDS,U.S. Dollar,of $1.2k goal,(1),27,52%,"days left
					,
				",0,4
62,"2,445",Aggie's Happily Ever After,U.S. Dollar,of $4k goal,(1),62,61%,"days left
					,
				",0,1
9,200,133192 BONANZA Male Mix (marked pit),U.S. Dollar,of $300 goal,(1),8,67%,"days left
					,
				",0,0
1,500,FL cocker Transport,U.S. Dollar,of $500 goal,(0),1,100%,"days left
					,
				",0,0
12,157,Angels Vet Bill Balance,U.S. Dollar,of $961 goal,(1),11,16%,"Years running
					,
				",6,0
9,360,"Cricket ~ A Special Pup, Surgery to Save Her Life~",U.S. Dollar,of $600 goal,(12),9,60%,"days left
					,
				",0,9
5,189,Urgent! Help us with our Service Project!,U.S. Dollar,of $1k goal,(1),3,19%,"days left
					,
				",0,1
11,840,Help support our International K9-SAR trial!,U.S. Dollar,of $1.5k goal,(4),11,56%,"days left
					,
				",0,5
1,325,Latest,U.S. Dollar,of $325 goal,(0),1,100%,"days left
					,
				",0,0
20,350,Mama Jane (Cat) receive EMERGENCY dental care!!!,U.S. Dollar,of $400 goal,(1),20,88%,"Years running
					,
				",6,2
16,300,Stanly - Barney,U.S. Dollar,of $300 goal,(1),16,100%,"days left
					,
				",0,0
8,500,Big Dan,U.S. Dollar,of $500 goal,(1),8,100%,"days left
					,
				",0,0
15,525,JAZZY NEEDS OUR HELP!!!,U.S. Dollar,of $500 goal,(1),11,105%,"days left
					,
				",0,1
2,150,SoCo Rescue's General Fund,U.S. Dollar,of $5k goal,(1),2,3%,"days left
					,
				",0,0
28,600,VET BALANCE MUST BE PAID ASAP TO CONTINUE CARE!,U.S. Dollar,of $7.5k goal,(7),25,8%,"Years running
					,
				",6,3
18,850,"Salome, our Parvo Puppy",U.S. Dollar,of $650 goal,(1),17,131%,"Years running
					,
				",6,0
20,511,TONY: Amputación patita derecha trasera,U.S. Dollar,of $500 goal,(1),20,102%,"days left
					,
				",0,0
7,200,133655 JAMES Male Lab/pit mix pup around 5 mos old,U.S. Dollar,of $300 goal,(1),7,67%,"days left
					,
				",0,0
5,130,Help SAVE Josie and her pups!! In KILL Shelter!!,U.S. Dollar,of $600 goal,(1),3,22%,"days left
					,
				",0,0
3,170,Oke-Pokey,U.S. Dollar,of $150 goal,(1),3,113%,"days left
					,
				",0,0
6,200,133512 CROMPTON ~ Male Pitbull,U.S. Dollar,of $300 goal,(1),6,67%,"days left
					,
				",0,0
12,265,Match Me,U.S. Dollar,of $500 goal,(0),12,53%,"Years running
					,
				",6,0
48,"1,548",Help Petunia and Bee Bee run again!!,U.S. Dollar,of $2k goal,(2),46,77%,"Years running
					,
				",6,2
9,125,OKE-PIXIE DUST,U.S. Dollar,of $150 goal,(1),9,83%,"days left
					,
				",0,0
1,100,133507 REV ~ Male Lab Mix- playful and young~,U.S. Dollar,of $300 goal,(1),1,33%,"days left
					,
				",0,0
6,150,SAVE LUKE,U.S. Dollar,of $150 goal,(1),6,100%,"days left
					,
				",0,1
11,160,OKE-BUGSBY,U.S. Dollar,of $160 goal,(1),11,100%,"days left
					,
				",0,0
16,250,OKE-CASSIE AND MIKE,U.S. Dollar,of $250 goal,(1),15,100%,"days left
					,
				",0,0
13,605,Help CIQ pay the July vet bill :),U.S. Dollar,of $400 goal,(1),12,151%,"days left
					,
				",0,0
12,150,Help Syrina & Jewel with Med Tx (Fully vet),U.S. Dollar,of $150 goal,(3),9,100%,"Years running
					,
				",6,5
91,"2,620","Brad Pitt, the MPBF puppy, needs surgery!",U.S. Dollar,of $2.5k goal,(2),87,105%,"days left
					,
				",0,2
14,375,Our little parvo pups need your help!,U.S. Dollar,of $2k goal,(1),12,19%,"Years running
					,
				",6,0
13,400,Operation Safe Haven,U.S. Dollar,of $1k goal,(1),13,40%,"Years running
					,
				",6,2
4,180,Please help Jamahl.......,Euro,of €500 goal,(14),4,36%,"days left
					,
				",0,6
5,250,"OKE-CLARICE,CONAN,CARLTON, AND CHANTELLE",U.S. Dollar,of $400 goal,(1),5,63%,"days left
					,
				",0,0
116,"5,321",help ted get well fund,U.S. Dollar,of $5k goal,(6),114,106%,"Years running
					,
				",6,8
14,165,Puppy 'Shy's Travel Fund,Pound Sterling,of £220 goal,(2),9,75%,"days left
					,
				",0,1
57,"2,090",Food & Supplies for Wildlife Rehab Center,U.S. Dollar,of $5k goal,(1),57,42%,"Years running
					,
				",6,2
2,650,OKE-GEO,U.S. Dollar,of $650 goal,(1),2,100%,"days left
					,
				",0,1
10,140,Kiwi's heart worm is worse than expected!,U.S. Dollar,of $1k goal,(3),6,14%,"Years running
					,
				",6,5
3,310,MCAA Tiny Tim,U.S. Dollar,of $500 goal,(1),3,62%,"days left
					,
				",0,0
8,280,Patches has rescue,U.S. Dollar,of $280 goal,(1),8,100%,"Years running
					,
				",6,0
7,150,SAVE A193563,U.S. Dollar,of $150 goal,(1),6,100%,"days left
					,
				",0,1
20,270,Ayúdanos a curar a Beba!!!,U.S. Dollar,of $500 goal,(2),17,54%,"days left
					,
				",0,5
30,"1,063",3 Dogs in serious need medically found near death,U.S. Dollar,of $2.5k goal,(7),26,43%,"days left
					,
				",0,4
7,133,Help Hamilton stay in his new adoptive home!,U.S. Dollar,of $122 goal,(1),6,109%,"days left
					,
				",0,0
10,260,Stanly - Shadow,U.S. Dollar,of $250 goal,(1),10,104%,"days left
					,
				",0,0
32,650,OKE-HERSHEY,U.S. Dollar,of $650 goal,(1),27,100%,"days left
					,
				",0,1
8,165,SAVE A193709,U.S. Dollar,of $150 goal,(1),8,110%,"days left
					,
				",0,1
11,200,Mont -- Kimmy,U.S. Dollar,of $200 goal,(1),11,100%,"days left
					,
				",0,0
19,782,Sable D Dog desperately needs surgery.,U.S. Dollar,of $5k goal,(6),19,16%,"Years running
					,
				",6,3
21,570,"Help my sick kitty, TANG!!",U.S. Dollar,of $2k goal,(8),13,28%,"Years running
					,
				",6,7
5,105,"133309 ""IDA"" Female Pit Pup 3 mos old 133310 ""AVA""",U.S. Dollar,of $600 goal,(1),5,18%,"days left
					,
				",0,0
3,160,FR - GABBY,U.S. Dollar,of $60 goal,(1),3,267%,"days left
					,
				",0,0
6,195,4 dogs need immediate medical attention!!!!!,U.S. Dollar,of $2k goal,(1),6,10%,"Years running
					,
				",6,0
5,150,FR-Madea,U.S. Dollar,of $150 goal,(1),5,100%,"days left
					,
				",0,0
41,500,Emi wants to help her furiend Raven,U.S. Dollar,of $500 goal,(8),38,100%,"days left
					,
				",0,5
9,310,Gracie Needs Surgery,U.S. Dollar,of $310 goal,(1),9,100%,"days left
					,
				",0,1
5,150,SAVE A193708,U.S. Dollar,of $150 goal,(1),4,100%,"days left
					,
				",0,1
19,450,Nadia need your support !!!,Euro,of €1k goal,(14),19,45%,"days left
					,
				",0,4
14,"2,020",Hay for the Horses,U.S. Dollar,of $2k goal,(22),13,101%,"Years running
					,
				",6,22
8,150,SAVE A161762,U.S. Dollar,of $150 goal,(1),8,100%,"days left
					,
				",0,2
5,100,HELP with RANDY's vet bills,U.S. Dollar,of $600 goal,(1),5,17%,"days left
					,
				",0,1
6,175,OKE-MADDISON,U.S. Dollar,of $175 goal,(1),6,100%,"days left
					,
				",0,0
3,145,"133579 ""ALBRIGHT"" Male Lab Mix Pup around 6 mos",U.S. Dollar,of $300 goal,(1),3,48%,"days left
					,
				",0,0
7,200,In Animal Control facility!  HELP us Save JUANITA,U.S. Dollar,of $300 goal,(1),7,67%,"days left
					,
				",0,1
5,240,133754 DAX Male Mix,U.S. Dollar,of $300 goal,(1),5,80%,"days left
					,
				",0,0
32,423,Funds for 10 yr Sadie Rehoming,U.S. Dollar,of $400 goal,(1),27,106%,"days left
					,
				",0,0
3,125,FIDA ~ Pit Mix Pup around 6 mos old,U.S. Dollar,of $300 goal,(1),2,42%,"days left
					,
				",0,0
16,751,Tia's Road to Remission,U.S. Dollar,of $3k goal,(6),16,25%,"Years running
					,
				",6,3
10,176,OKE-NELLY,U.S. Dollar,of $175 goal,(1),9,101%,"days left
					,
				",0,0
2,125,PEPE - Pit Mix Pup around 6 mos old,U.S. Dollar,of $300 goal,(1),2,42%,"days left
					,
				",0,0
5,150,133455 TODDY Male Pit mix,U.S. Dollar,of $300 goal,(1),5,50%,"days left
					,
				",0,0
92,"2,729","PLEASE,  Help us Get the van Repaired or Replaced.",U.S. Dollar,of $3k goal,(1),88,91%,"days left
					,
				",0,8
8,370,Help needed for family of 10 out of Union County!!,U.S. Dollar,of $650 goal,(1),6,57%,"Years running
					,
				",6,2
6,300,133523 ROMAN ~ Male Pit,U.S. Dollar,of $300 goal,(1),6,100%,"days left
					,
				",0,0
13,250,Sister has rescue!,U.S. Dollar,of $250 goal,(1),13,100%,"Years running
					,
				",6,0
13,225,Loki's Dream,U.S. Dollar,of $10k goal,(8),13,2%,"Years running
					,
				",6,1
17,130,Save Brian's sight,Pound Sterling,of £5.5k goal,(6),16,2%,"days left
					,
				",0,4
4,110,Vetting expenses for Special Needs animals,U.S. Dollar,of $500 goal,(1),4,22%,"days left
					,
				",0,1
9,150,SAVE A190465,U.S. Dollar,of $150 goal,(1),9,100%,"days left
					,
				",0,1
11,300,133720 CHINA Female Cattle Dog Mix,U.S. Dollar,of $300 goal,(1),11,100%,"days left
					,
				",0,0
4,125,133485 KENNY Male Pit,U.S. Dollar,of $300 goal,(1),4,42%,"days left
					,
				",0,0
20,725,Stanly - Ace HW TREATMENT UPDATED,U.S. Dollar,of $725 goal,(1),20,100%,"days left
					,
				",0,0
12,340,Finally dog unchained after abandoned 32 days,U.S. Dollar,of $500 goal,(1),12,68%,"Years running
					,
				",6,1
10,150,Rowan MONA,U.S. Dollar,of $150 goal,(1),10,100%,"days left
					,
				",0,0
60,"1,081",Catawba-Jenny,U.S. Dollar,of $1.5k goal,(1),59,72%,"days left
					,
				",0,0
7,185,Jasmine is saved!,U.S. Dollar,of $150 goal,(1),7,123%,"Years running
					,
				",6,0
4,200,CATAWBA-SHELBY AND BABY,U.S. Dollar,of $200 goal,(1),4,100%,"days left
					,
				",0,0
30,"1,500",Please help us give these animals a healthy life,U.S. Dollar,of $1.5k goal,(1),26,100%,"Years running
					,
				",6,1
4,405,In Animal Control facility!  HELP us Save LEONARDO,U.S. Dollar,of $400 goal,(1),4,101%,"days left
					,
				",0,2
14,325,AIKEN - SIMONE,U.S. Dollar,of $325 goal,(4),14,100%,"days left
					,
				",0,2
8,110,KIMMY CHOW RESCUE 911,U.S. Dollar,of $500 goal,(3),7,22%,"days left
					,
				",0,3
7,150,Rowan MITZI,U.S. Dollar,of $150 goal,(1),7,100%,"days left
					,
				",0,0
4,180,MCAA -- 3 Kittens,U.S. Dollar,of $180 goal,(1),4,100%,"days left
					,
				",0,0
14,240,Our dear boy Kilo,U.S. Dollar,of $240 goal,(1),14,100%,"Years running
					,
				",6,0
1,370,Latest,U.S. Dollar,of $370 goal,(0),1,100%,"Years running
					,
				",6,0
15,500,Rowan-MIDNIGHT HW treatment,U.S. Dollar,of $500 goal,(1),14,100%,"days left
					,
				",0,0
87,"1,766",Please Help! Kitty Fallon needs hip surgery!,U.S. Dollar,of $2.1k goal,(1),84,84%,"days left
					,
				",0,2
11,205,Help Babe the puppy with his orthopedic surgery!,U.S. Dollar,of $350 goal,(9),7,59%,"days left
					,
				",0,12
73,"2,370",Help for Luke,U.S. Dollar,of $5k goal,(1),71,47%,"Years running
					,
				",6,1
11,240,Zip is ready to head home,U.S. Dollar,of $240 goal,(1),11,100%,"Years running
					,
				",6,0
13,300,133602 LUCKY (real name) Male Pit Mix-VERY sweet!!,U.S. Dollar,of $300 goal,(1),9,100%,"days left
					,
				",0,0
31,"1,383",Dexter the Corgi needs help!,U.S. Dollar,of $2k goal,(1),31,67%,"days left
					,
				",0,0
5,150,SAVE A193467,U.S. Dollar,of $150 goal,(1),5,100%,"days left
					,
				",0,1
11,225,Sweet baby Ross' surgery,U.S. Dollar,of $700 goal,(1),11,32%,"days left
					,
				",0,0
6,115,Dingo is saved!,U.S. Dollar,of $200 goal,(1),6,57%,"Years running
					,
				",6,0
38,"1,297",THE NEW CENTER,U.S. Dollar,of $5k goal,(2),37,26%,"days left
					,
				",0,3
9,275,Flossy the Pooch Needs Heartworm Treatment,U.S. Dollar,of $275 goal,(1),9,100%,"days left
					,
				",0,1
3,150,Osito is in need of a surgical procedure,U.S. Dollar,of $150 goal,(1),2,100%,"Years running
					,
				",6,0
15,305,Our Joe has rescue,U.S. Dollar,of $300 goal,(1),15,102%,"Years running
					,
				",6,0
13,230,Kittens on the way,U.S. Dollar,of $5k goal,(1),11,5%,"Years running
					,
				",6,1
9,305,"133566 ""LUCY"" Female Pit Mix-small- around 35lbs",U.S. Dollar,of $300 goal,(1),9,102%,"days left
					,
				",0,0
19,500,In Animal Control facility!  HELP us Save 5 TEENS,U.S. Dollar,of $1.5k goal,(1),19,33%,"days left
					,
				",0,3
13,240,FR-SNOW WHITE LITTER,U.S. Dollar,of $240 goal,(1),13,100%,"days left
					,
				",0,0
11,215,MCAA -- Sadie,U.S. Dollar,of $450 goal,(1),11,48%,"days left
					,
				",0,0
1,150,SAVE A193618,U.S. Dollar,of $150 goal,(1),1,100%,"days left
					,
				",0,1
6,180,MCAA -- Kitten group 1,U.S. Dollar,of $180 goal,(1),6,100%,"days left
					,
				",0,0
5,240,MCAA -- Kitten group 2,U.S. Dollar,of $240 goal,(1),5,100%,"days left
					,
				",0,0
29,550,Stanly - Max the Beagle HEARTWORM FUNDS,U.S. Dollar,of $550 goal,(1),29,100%,"days left
					,
				",0,0
9,160,FR-4 CHIWEENIES,U.S. Dollar,of $160 goal,(1),9,100%,"days left
					,
				",0,0
4,200,Rowan - BABY,U.S. Dollar,of $200 goal,(1),4,100%,"days left
					,
				",0,0
9,350,Help Us Save More Lives!,U.S. Dollar,of $5k goal,(6),9,7%,"Years running
					,
				",6,2
9,275,We need help to get Bobby at his forever home.,Euro,of €500 goal,(1),8,55%,"days left
					,
				",0,0
5,200,133518 LIAM - Male Mix (card says pit) pup less th,U.S. Dollar,of $300 goal,(1),4,67%,"days left
					,
				",0,0
10,160,Save A193624,U.S. Dollar,of $150 goal,(1),10,107%,"days left
					,
				",0,1
4,125,133751 FLETCHER M Boxer Mix,U.S. Dollar,of $300 goal,(1),4,42%,"days left
					,
				",0,0
13,342,Misty and her Babies need your help with vetting.,U.S. Dollar,of $35k goal,(2),12,1%,"days left
					,
				",0,4
34,883,Gracie ~ URGENT Operation needed! Please help her,Pound Sterling,of £850 goal,(5),34,104%,"days left
					,
				",0,4
15,165,"133131 WASABE Male Pit- cute, friendly",U.S. Dollar,of $300 goal,(1),15,55%,"days left
					,
				",0,0
6,180,My birthday wish - spay/neuter 11 stray kitties,U.S. Dollar,of $200 goal,(5),6,90%,"Years running
					,
				",6,4
1,485,Latest,U.S. Dollar,of $485 goal,(0),1,100%,"days left
					,
				",0,0
40,"1,062",DUNCAN the emaciated Dalmatian,U.S. Dollar,of $900 goal,(2),32,118%,"days left
					,
				",0,4
7,160,O.J. needs a sponsor,U.S. Dollar,of $160 goal,(1),7,100%,"Years running
					,
				",6,0
1,300,Latest,U.S. Dollar,of $300 goal,(0),1,100%,"days left
					,
				",0,0
18,270,Please Help Popeye,U.S. Dollar,of $500 goal,(3),14,54%,"Years running
					,
				",6,4
16,370,Turkish Animal Rescue Organisation,Pound Sterling,of £2k goal,(1),15,19%,"Years running
					,
				",7,0
6,160,Sparrow needs a sponsor,U.S. Dollar,of $160 goal,(1),6,100%,"Years running
					,
				",6,0
18,405,Hope Needs Your Help,U.S. Dollar,of $500 goal,(1),15,81%,"days left
					,
				",0,0
4,100,Aiken - Alfafa,U.S. Dollar,of $100 goal,(1),4,100%,"days left
					,
				",0,0
4,120,"Rory, 10 year old rescue needs medical assistance",U.S. Dollar,of $500 goal,(1),4,24%,"Years running
					,
				",6,2
7,300,Stray Puppy Needs Leg Amputated,U.S. Dollar,of $2k goal,(1),7,15%,"days left
					,
				",0,0
15,320,***EMERGENCY***JULIETTE Schnauzer *IAS,U.S. Dollar,of $800 goal,(2),14,40%,"days left
					,
				",0,2
3,670,Stop the killing of these 6 babies,U.S. Dollar,of $1k goal,(1),3,67%,"days left
					,
				",0,1
9,161,Emergency Rescue Transport,U.S. Dollar,of $150 goal,(1),9,107%,"days left
					,
				",0,0
2,160,Flake needs a sponsor,U.S. Dollar,of $160 goal,(1),2,100%,"Years running
					,
				",6,0
5,160,Tabby needs a sponsor,U.S. Dollar,of $160 goal,(1),5,100%,"Years running
					,
				",6,0
1,500,Auction Puppies,U.S. Dollar,of $200 goal,(0),1,250%,"days left
					,
				",0,0
18,950,Help Diesel get to Red Clay!!!!,U.S. Dollar,of $1k goal,(1),18,95%,"Years running
					,
				",6,1
12,260,Hank is heading to the state of Washington,U.S. Dollar,of $250 goal,(1),12,104%,"days left
					,
				",0,9
16,330,133092 DEGAS Male Cur Mix (marked as a pit) Sweet,U.S. Dollar,of $300 goal,(1),13,110%,"days left
					,
				",0,0
7,160,Please sponsor Binky,U.S. Dollar,of $160 goal,(1),7,100%,"Years running
					,
				",6,0
33,"6,590","Don't Make Us Say, ""Sorry, We Are Closed""!",U.S. Dollar,of $6k goal,(1),32,110%,"Years running
					,
				",6,0
19,500,FUNDS FOR RESCUE OF 4 DOMESTIC ABUSE CASE DOGS,U.S. Dollar,of $500 goal,(2),18,100%,"Years running
					,
				",6,5
13,350,help pay honey's vet and cremation bill,U.S. Dollar,of $480 goal,(1),13,73%,"Years running
					,
				",6,2
2,150,133245 ANNETTE FUNICELLO Female Border Collie pup,U.S. Dollar,of $300 goal,(1),2,50%,"days left
					,
				",0,0
1,475,Latest Dogs,U.S. Dollar,of $475 goal,(0),1,100%,"days left
					,
				",0,0
4,148,133230 SIR WILLIAM Male Pit- very submissive~,U.S. Dollar,of $300 goal,(1),4,49%,"days left
					,
				",0,0
